Difference in record 'distance_view': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'expanded_landing_page_view': Field 'id' - Version 1: '213', Version 2: '156'
Difference in record 'expanded_landing_page_view': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'geographic_view': Field 'id' - Version 1: '214', Version 2: '152'
Difference in record 'geographic_view': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'extension_feed_item': Field 'id' - Version 1: '215', Version 2: '155'
Difference in record 'extension_feed_item': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'display_keyword_view': Field 'id' - Version 1: '216', Version 2: '159'
Difference in record 'display_keyword_view': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'feed_item': Field 'id' - Version 1: '217', Version 2: '158'
Difference in record 'feed_item': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'detail_placement_view': Field 'id' - Version 1: '218', Version 2: '161'
Difference in record 'detail_placement_view': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'customer_asset': Field 'id' - Version 1: '219', Version 2: '171'
Difference in record 'customer_asset': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'conversion_action': Field 'id' - Version 1: '220', Version 2: '163'
Difference in record 'conversion_action': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'customer_search_term_insight': Field 'id' - Version 1: '221', Version 2: '160'
Difference in record 'customer_search_term_insight': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'click_view': Field 'id' - Version 1: '222', Version 2: '170'
Difference in record 'click_view': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'campaign_search_term_insight': Field 'id' - Version 1: '223', Version 2: '162'
Difference in record 'campaign_search_term_insight': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'customer': Field 'id' - Version 1: '224', Version 2: '164'
Difference in record 'customer': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'campaign_budget': Field 'id' - Version 1: '225', Version 2: '169'
Difference in record 'campaign_budget': Field 'description' - Version 1: 'A campaign budget.', Version 2: 'A campaign budget shared amongst various budget recommendation types.'
Difference in record 'campaign_budget': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'campaign_bid_modifier': Field 'id' - Version 1: '226', Version 2: '168'
Difference in record 'campaign_bid_modifier': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'campaign_group': Field 'id' - Version 1: '227', Version 2: '165'
Difference in record 'campaign_group': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'campaign_audience_view': Field 'id' - Version 1: '228', Version 2: '166'
Difference in record 'campaign_audience_view': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'ad_group_extension_setting': Field 'id' - Version 1: '229', Version 2: '7'
Difference in record 'ad_group_extension_setting': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'ad_group_feed': Field 'id' - Version 1: '230', Version 2: '6'
Difference in record 'ad_group_feed': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'ad_group_customizer': Field 'id' - Version 1: '231', Version 2: '1'
Difference in record 'ad_group_customizer': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'ad_group_criterion': Field 'id' - Version 1: '232', Version 2: '5'
Difference in record 'ad_group_criterion': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'accessible_bidding_strategy': Field 'id' - Version 1: '233', Version 2: '3'
Difference in record 'accessible_bidding_strategy': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'ad_group_criterion_customizer': Field 'id' - Version 1: '234', Version 2: '11'
Difference in record 'ad_group_criterion_customizer': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'ad_group_bid_modifier': Field 'id' - Version 1: '235', Version 2: '14'
Difference in record 'ad_group_bid_modifier': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'ad_group_criterion_label': Field 'id' - Version 1: '236', Version 2: '2'
Difference in record 'ad_group_criterion_label': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'ad_group_asset_set': Field 'id' - Version 1: '237', Version 2: '8'
Difference in record 'ad_group_asset_set': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'ad_group_ad_label': Field 'id' - Version 1: '238', Version 2: '12'
Difference in record 'ad_group_ad_label': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'account_budget_proposal': Field 'id' - Version 1: '239', Version 2: '13'
Difference in record 'account_budget_proposal': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'bidding_seasonality_adjustment': Field 'id' - Version 1: '240', Version 2: '98'
Difference in record 'bidding_seasonality_adjustment': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'account_budget': Field 'id' - Version 1: '241', Version 2: '10'
Difference in record 'account_budget': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'bidding_data_exclusion': Field 'id' - Version 1: '242', Version 2: '99'
Difference in record 'bidding_data_exclusion': Field 'version' - Version 1: '14', Version 2: '15'
Difference in record 'account_link': Field 'id' - Version 1: '243', Version 2: '9'
