field_filterable,field_repeated,field_selectable,field_sortable,field_selectable_with,field_field_description,field_category,field_data_type,field_name,field_type_url
True,False,True,False,[B@58b4f5e8,Immutable. The resource name of the remarketing action. Remarketing action resource names have the form: customers/{customer_id}/remarketingActions/{remarketing_action_id},ATTRIBUTE,RESOURCE_NAME,remarketing_action.resource_name,N/A
False,True,True,False,[B@4ae5ee19,Output only. The snippets used for tracking remarketing actions.,ATTRIBUTE,MESSAGE,remarketing_action.tag_snippets,google.ads.googleads.v15.common.TagSnippet
True,False,True,True,[B@627efd9f,"Output only. Size range in terms of number of users of the UserList, on the Google Display Network. This field is read-only.",ATTRIBUTE,"FIFTY_THOUSAND_TO_ONE_HUNDRED_THOUSAND,FIVE_HUNDRED_THOUSAND_TO_ONE_MILLION,FIVE_MILLION_TO_TEN_MILLION,LESS_THAN_FIVE_HUNDRED,LESS_THAN_ONE_THOUSAND,ONE_HUNDRED_THOUSAND_TO_THREE_HUNDRED_THOUSAND,ONE_MILLION_TO_TWO_MILLION,ONE_THOUSAND_TO_TEN_THOUSAND,OVER_FIFTY_MILLION,TEN_MILLION_TO_TWENTY_MILLION,TEN_THOUSAND_TO_FIFTY_THOUSAND,THIRTY_MILLION_TO_FIFTY_MILLION,THREE_HUNDRED_THOUSAND_TO_FIVE_HUNDRED_THOUSAND,THREE_MILLION_TO_FIVE_MILLION,TWENTY_MILLION_TO_THIRTY_MILLION,TWO_MILLION_TO_THREE_MILLION,UNKNOWN,UNSPECIFIED",user_list.size_range_for_display,google.ads.googleads.v15.enums.UserListSizeRangeEnum.UserListSizeRange
True,False,True,True,[B@25aaafd,"Output only. Size range in terms of number of users of the UserList, for Search ads. This field is read-only.",ATTRIBUTE,"FIFTY_THOUSAND_TO_ONE_HUNDRED_THOUSAND,FIVE_HUNDRED_THOUSAND_TO_ONE_MILLION,FIVE_MILLION_TO_TEN_MILLION,LESS_THAN_FIVE_HUNDRED,LESS_THAN_ONE_THOUSAND,ONE_HUNDRED_THOUSAND_TO_THREE_HUNDRED_THOUSAND,ONE_MILLION_TO_TWO_MILLION,ONE_THOUSAND_TO_TEN_THOUSAND,OVER_FIFTY_MILLION,TEN_MILLION_TO_TWENTY_MILLION,TEN_THOUSAND_TO_FIFTY_THOUSAND,THIRTY_MILLION_TO_FIFTY_MILLION,THREE_HUNDRED_THOUSAND_TO_FIVE_HUNDRED_THOUSAND,THREE_MILLION_TO_FIVE_MILLION,TWENTY_MILLION_TO_THIRTY_MILLION,TWO_MILLION_TO_THREE_MILLION,UNKNOWN,UNSPECIFIED",user_list.size_range_for_search,google.ads.googleads.v15.enums.UserListSizeRangeEnum.UserListSizeRange
True,False,True,True,[B@7dbe04eb,Output only. Type of this list. This field is read-only.,ATTRIBUTE,"CRM_BASED,EXTERNAL_REMARKETING,LOGICAL,LOOKALIKE,REMARKETING,RULE_BASED,SIMILAR,UNKNOWN,UNSPECIFIED",user_list.type,google.ads.googleads.v15.enums.UserListTypeEnum.UserListType
True,False,True,True,[B@18cea863,Output only. The ID of this shared set. Read only.,ATTRIBUTE,INT64,shared_set.id,N/A
True,False,True,True,[B@dc93ce0,Output only. The number of shared criteria within this shared set. Read only.,ATTRIBUTE,INT64,shared_set.member_count,N/A
True,False,True,True,[B@5a1362e6,"The name of this shared set. Required. Shared Sets must have names that are unique among active shared sets of the same type. The length of this string should be between 1 and 255 UTF-8 bytes, inclusive.",ATTRIBUTE,STRING,shared_set.name,N/A
True,False,True,True,[B@5787ac13,Output only. The number of campaigns associated with this shared set. Read only.,ATTRIBUTE,INT64,shared_set.reference_count,N/A
True,False,True,False,[B@3a679b30,Immutable. The resource name of the shared set. Shared set resource names have the form: customers/{customer_id}/sharedSets/{shared_set_id},ATTRIBUTE,RESOURCE_NAME,shared_set.resource_name,N/A
True,False,True,True,[B@7e8d8ea0,Output only. The status of this shared set. Read only.,ATTRIBUTE,"ENABLED,REMOVED,UNKNOWN,UNSPECIFIED",shared_set.status,google.ads.googleads.v15.enums.SharedSetStatusEnum.SharedSetStatus
True,False,True,True,[B@3f48c7c5,Immutable. The type of this shared set: each shared set holds only a single kind of resource. Required. Immutable.,ATTRIBUTE,"ACCOUNT_LEVEL_NEGATIVE_KEYWORDS,BRANDS,NEGATIVE_KEYWORDS,NEGATIVE_PLACEMENTS,UNKNOWN,UNSPECIFIED",shared_set.type,google.ads.googleads.v15.enums.SharedSetTypeEnum.SharedSetType
True,False,True,True,[B@55c5130b,"Enabling a lead form on your business profile enables prospective customers to contact your business by filling out a simple form, and you'll receive their information through email.",ATTRIBUTE,BOOLEAN,smart_campaign_setting.ad_optimized_business_profile_setting.include_lead_form,N/A
True,False,True,True,[B@537dbc98,The language code to advertise in from the set of supported language codes.,ATTRIBUTE,STRING,smart_campaign_setting.advertising_language_code,N/A
True,False,True,True,[B@4117c0d9,The name of the business.,ATTRIBUTE,STRING,smart_campaign_setting.business_name,N/A
